views,likes,set_id,iid1,iid2,iid3,iid4,iid5,iid6,iid7,iid8,color_1,color_2,color_3,color_4
2968,664,216057523,4,23,43,37,64,106,1967,57,black,red,none,none
206,8,122754559,21,25,237,49,0,0,0,0,black,none,none,none
492,4,138431148,11,10,46,38,106,64,200,199,white,red,blue,yellow
5073,934,207437487,4,46,37,65,57,182,0,0,black,green,gray,none
229,55,179583174,17,236,237,261,36,57,52,196,white,black,none,none
755,197,205635049,132,123,4503,159,179,144,318,110,orange,none,none,none
12218,2226,202255709,11,28,43,38,57,196,195,196,black,none,none,none
3445,36,110629024,17,26,237,261,36,221,314,0,white,black,blue,none
65083,4203,100774542,19,25,27,261,62,64,196,194,white,brown,red,none
45,5,188480725,4,43,64,65,55,105,57,0,black,none,none,none
83,16,212381804,19,240,266,39,62,57,0,0,black,gray,none,none
5111,1011,183266525,11,24,28,43,37,52,77,0,blue,none,none,none
191,22,175232162,18,11,237,43,0,0,0,0,blue,none,none,none
163,60,214768398,11,28,261,38,62,0,0,0,black,none,none,none
8886,673,210548859,19,11,310,49,36,201,190,3336,black,brown,white,red
144,97,212812915,11,237,41,259,61,55,0,0,white,black,blue,none
3017,712,211687168,5,43,38,62,95,0,0,0,gray,none,none,none
39,11,214338048,222,222,222,222,222,318,11,25,black,white,blue,purple
59,79,217006074,17,7,43,38,319,0,0,0,white,black,none,none
2782,291,214394737,11,25,332,263,263,259,62,67,white,red,yellow,none
1057,279,213950601,29,108,46,36,51,0,0,0,blue,none,none,none
476,115,216191457,19,25,9,261,38,1967,196,200,red,none,none,none
2208,349,212285137,4,25,43,318,62,61,190,200,black,brown,white,red
3929,755,205932272,4496,104,9,49,259,64,55,1967,purple,none,none,none
522,120,191904127,43,38,67,64,6,0,0,0,yellow,none,none,none
10793,2431,210321457,19,8,42,259,53,57,0,0,black,blue,orange,brown
46,8,204256557,5,25,46,65,106,62,1967,200,black,gray,none,none
720,252,216341850,43,37,61,60,105,4438,182,0,orange,green,none,none
184,21,156117458,11,10,46,38,106,0,0,0,black,red,none,none
1924,410,214160678,43,38,65,64,196,186,197,106,black,red,yellow,none
2981,840,212554716,4,43,38,65,60,93,200,0,black,red,yellow,none
161,18,140836593,18,28,261,37,62,64,106,65,brown,gray,none,none
7195,1371,175581450,19,29,265,318,1967,58,76,0,white,blue,yellow,none
854,45,107617926,4,18,49,4438,4438,0,0,0,purple,red,gray,none
4,2,216696386,4495,28,49,37,61,64,200,95,white,black,red,gray
3159,285,157383815,104,25,237,36,259,27,0,0,black,none,none,none
3257,766,215351346,17,9,318,43,0,0,0,0,white,black,red,none
161,62,216369946,4495,9,46,38,64,67,1967,4428,red,yellow,none,none
273,53,183150999,4,251,261,258,64,55,4426,0,black,none,none,none
1571,383,191309586,19,25,261,37,237,0,0,0,red,none,none,none
8,7,214229253,342,4458,295,305,4520,4463,303,4472,black,none,none,none
51,6,208210915,11,25,29,49,259,0,0,0,white,black,red,blue
91,6,184580594,17,24,25,8,251,42,36,201,brown,black,white,purple
60,4,190729756,197,95,211,227,58,61,62,65,purple,black,orange,none
414,90,216092150,2,11,258,42,40,60,316,182,black,brown,none,none
72,6,194711828,19,29,49,259,62,55,1967,57,purple,blue,yellow,none
169,20,106355827,104,237,318,61,106,55,297,199,black,blue,yellow,none
333,87,198214690,21,25,237,49,259,0,0,0,gray,none,none,none
453,73,193571464,95,57,62,5,46,0,0,0,white,green,none,none
559,260,216886673,17,17,17,29,43,43,37,62,red,blue,none,none
227,121,216886671,4,46,37,64,62,93,0,0,brown,red,none,none
3093,165,139151321,236,9,2,43,318,4438,4438,4441,black,brown,white,red
3009,933,204688868,17,29,46,318,106,65,57,76,blue,none,none,none
3549,1417,192593813,5,261,105,24,0,0,0,0,white,none,none,none
878,208,186665156,21,24,237,43,182,0,0,0,blue,yellow,none,none
952,42,136759878,11,9,261,37,64,107,200,227,white,black,red,none
295,38,213960031,275,278,4456,297,56,0,0,0,black,brown,blue,none
23,18,211610841,17,25,237,261,318,106,61,106,black,blue,yellow,none
428,181,216775771,19,25,237,49,318,106,105,0,black,red,gray,none
2182,222,101676130,17,29,49,259,106,201,95,316,white,black,red,gray
748,104,214205841,24,26,2,4452,42,55,57,4244,white,green,none,none
570,56,184939111,17,25,9,261,38,62,0,0,black,yellow,none,none
1330,210,193698180,19,240,49,36,64,0,0,0,white,gray,none,none
358,115,216679696,11,9,41,38,65,64,200,0,white,red,none,none
171,58,216742247,17,236,28,43,37,194,95,211,white,black,red,blue
1775,431,211873043,19,11,24,237,42,39,57,52,black,brown,none,none
1120,89,118417134,2,2,4517,49,333,220,74,0,white,none,none,none
1912,568,210474806,19,28,42,259,106,55,0,0,black,green,none,none
2178,670,212431988,17,28,43,65,65,64,194,201,black,red,gray,none
191,23,197593425,11,236,9,261,62,64,62,0,white,black,blue,gray
167,87,213743727,252,28,261,259,106,105,1967,199,black,gray,none,none
912,356,215426321,335,11,2,41,71,0,0,0,black,orange,none,none
2537,443,196498522,5,25,46,37,4487,4487,0,0,white,black,yellow,none
163,76,212630740,19,27,261,259,61,105,0,0,black,blue,yellow,none
142,16,190778892,25,28,2,43,258,61,62,106,white,black,red,gray
70,5,171792279,4,2,261,64,62,0,0,0,blue,none,none,none
714,378,216884637,17,7,50,50,37,62,64,319,black,white,yellow,green
206,24,180986567,5,43,106,64,214,340,4244,144,white,black,orange,gray
14,8,180096224,24,27,261,259,141,0,0,0,blue,none,none,none
1656,551,214721420,19,28,265,35,60,55,196,197,black,none,none,none
2893,441,173289428,21,237,49,259,65,316,0,0,white,black,none,none
3605,1035,208810170,19,24,8,43,37,93,198,0,brown,red,none,none
694,154,203669264,11,9,46,318,61,319,222,0,white,brown,blue,green
3693,424,209480577,3,43,318,106,200,199,200,0,black,red,none,none
165,79,216856099,4496,25,29,69,105,1967,57,0,blue,none,none,none
660,122,216671099,19,27,261,37,1967,200,0,0,white,black,red,none
252,23,191393116,19,24,10,49,37,57,0,0,white,brown,red,gray
1039,189,147301197,21,237,41,318,64,65,55,200,white,black,red,none
3080,589,189093476,36,57,201,95,222,76,29,0,black,brown,gray,none
17995,1935,201220287,4,46,38,318,55,57,4438,78,white,brown,green,yellow
273,80,216481581,11,9,2,47,47,37,62,64,black,blue,gray,none
468,119,216355981,21,237,37,106,187,222,0,0,purple,black,none,none
5043,497,121558278,104,49,62,186,110,0,0,0,blue,none,none,none
614,7,109117243,5,25,261,64,106,62,0,0,black,orange,green,yellow
7,6,216946446,21,25,245,27,49,37,61,65,black,white,red,blue
65,47,216946445,19,310,265,36,61,65,65,57,white,brown,red,yellow
1020,204,189423542,21,21,27,261,318,0,0,0,black,none,none,none
191,7,138699308,25,28,201,222,4479,0,0,0,white,black,blue,yellow
317,19,189815453,21,18,237,261,200,222,0,0,red,blue,none,none
220,45,215389208,21,25,28,49,36,0,0,0,white,black,blue,none
2583,1221,213296951,19,25,237,37,106,222,261,0,white,black,brown,yellow
237,21,188336402,11,24,237,261,64,1967,0,0,brown,yellow,none,none
148,51,216843048,17,236,8,46,318,106,64,200,white,black,red,none
492,231,214381891,4,4,69,261,37,55,0,0,white,black,red,none
77,22,177686634,19,24,237,49,318,55,198,0,white,black,blue,none
369,4,124740952,21,29,49,259,106,65,55,1967,black,red,blue,brown
329,49,215530261,4495,29,46,36,106,55,0,0,white,black,none,none
119,112,216988897,4,24,261,38,64,0,0,0,white,none,none,none
794,299,216831984,19,19,2,43,37,57,0,0,white,none,none,none
16,3,178815436,4,46,38,93,222,0,0,0,white,orange,none,none
1063,371,216364199,275,25,237,261,71,0,0,0,black,none,none,none
25,12,213826361,335,4472,304,4463,4454,278,305,291,black,brown,white,red
4193,401,211868598,4,2,43,318,64,4428,190,196,purple,red,yellow,none
5,4,212923466,3,104,104,25,29,1605,8,29,black,white,red,blue
607,173,211540953,4,24,266,36,0,0,0,0,white,black,red,none
892,268,215305762,4497,4497,4497,4497,297,71,0,0,black,none,none,none
543,133,216692815,244,43,38,64,197,187,198,24,black,red,none,none
46,14,213990802,5,46,38,65,58,200,223,199,black,white,red,blue
1134,456,216601900,21,25,2,43,37,57,74,0,black,gray,none,none
2218,438,146830699,11,25,8,251,261,37,62,0,white,black,red,none
2713,330,151553803,3,4,41,37,57,4429,4448,0,white,black,none,none
32,14,210121889,11,237,259,106,64,65,62,1967,white,blue,none,none
598,160,192271007,104,26,237,261,37,57,0,0,blue,none,none,none
1278,72,131190186,11,9,46,318,4438,4267,0,0,black,blue,green,none
4980,2146,211590381,21,240,49,65,1967,55,1967,57,black,red,gray,none
1092,187,204012896,11,9,46,46,37,67,0,0,black,green,none,none
22,23,216946990,21,29,49,259,93,196,196,74,white,black,red,green
90,70,216946224,3,24,43,318,106,106,64,59,white,black,none,none
1156,599,212824273,11,11,9,251,43,36,61,64,black,blue,yellow,none
2248,718,212341506,3,46,46,65,64,74,93,0,black,green,yellow,none
5320,219,113601627,5,264,58,196,198,74,0,0,white,black,red,none
18,12,216656083,11,25,237,261,37,0,0,0,white,black,none,none
2415,657,181799515,4495,28,261,106,0,0,0,0,black,blue,gray,none
4880,347,124355770,4,236,46,38,64,200,222,0,black,red,blue,none
403,235,216835455,104,25,28,40,62,204,0,0,black,none,none,none
1286,258,212659017,17,236,237,42,38,62,108,0,white,black,blue,none
1179,73,138759690,19,237,43,259,57,213,0,0,black,yellow,none,none
3392,545,196105298,1606,46,318,106,55,1967,57,195,red,yellow,none,none
587,135,184531546,194,195,259,25,9,9,41,0,white,black,red,blue
2165,866,212350236,104,27,49,36,208,214,220,3336,white,red,blue,none
1324,626,216560480,17,237,261,37,64,57,93,0,white,black,red,yellow
1767,394,207512310,4,261,37,55,0,0,0,0,black,red,none,none
596,32,110998417,19,104,237,49,37,106,62,4428,black,blue,gray,none
322,204,216944599,24,9,265,259,0,0,0,0,white,red,blue,none
4758,469,166295907,21,236,28,46,318,105,0,0,brown,none,none,none
3886,864,214199631,4,4,24,261,38,62,61,105,gray,none,none,none
81,44,210952217,4500,4499,4499,313,177,313,313,313,white,brown,yellow,none
623,190,215314998,17,18,238,261,259,55,196,319,white,red,blue,none
137,39,216667624,21,25,28,261,38,57,0,0,black,none,none,none
3032,970,212530767,19,8,266,38,64,65,65,194,white,black,gray,none
148,25,143734075,17,25,310,261,259,74,0,0,white,none,none,none
247,123,216950055,21,236,241,43,37,201,0,0,black,none,none,none
922,14,205211881,11,25,237,49,258,76,0,0,white,black,blue,green
713,15,121252725,104,29,49,106,65,58,57,77,white,red,none,none
65,25,211648398,21,237,49,62,0,0,0,0,black,none,none,none
790,148,183449357,4495,24,2,261,37,0,0,0,black,blue,orange,brown
2116,538,202019542,17,25,241,49,36,299,0,0,blue,gray,yellow,none
11,4,207654961,4,43,259,51,58,57,0,0,black,red,none,none
226,132,216954217,4496,25,310,261,318,55,57,0,black,none,none,none
1160,250,213075417,5,43,38,64,200,95,0,0,black,red,yellow,none
72,7,107745842,11,9,46,318,106,106,64,33,black,brown,none,none
715,252,216803487,5,19,24,41,318,64,55,59,orange,gray,yellow,none
332,46,214735804,5,42,40,64,62,57,55,95,white,black,yellow,none
1709,501,206191734,4452,309,46,38,61,57,196,201,white,red,purple,none
2412,450,154022376,11,9,49,259,57,3336,187,0,white,black,green,yellow
168,7,121676446,11,104,29,7,9,245,106,65,white,blue,none,none
215,18,129068772,21,11,244,29,49,49,259,37,black,blue,none,none
458,154,215882403,19,24,29,43,38,62,64,1967,black,red,none,none
745,133,202121334,104,9,43,37,67,55,335,196,white,black,none,none
24,3,211251895,11,9,46,57,4441,0,0,0,black,red,blue,yellow
859,350,198766684,104,29,46,62,106,57,196,200,black,white,red,blue
1096,42,109160224,8,46,38,106,65,2,197,199,black,blue,green,none
5222,1400,216737371,4496,24,9,261,318,62,1967,57,black,red,gray,yellow
4909,184,117196812,17,2,49,37,55,0,0,0,black,blue,none,none
12,7,216644235,11,29,106,64,62,65,52,0,black,gray,none,none
52,11,215520043,195,55,104,9,46,4438,182,200,red,none,none,none
6605,1039,200719002,11,9,46,36,190,199,77,0,white,red,blue,gray
76,11,134693679,11,25,237,49,65,1967,55,303,white,black,yellow,none
1933,176,149979536,11,24,237,47,38,61,64,52,blue,gray,none,none
221,101,216249415,17,17,41,222,0,0,0,0,red,none,none,none
189,25,134900761,11,236,29,261,38,106,1967,197,black,blue,yellow,none
104,8,114151081,104,28,261,36,64,62,58,0,brown,none,none,none
87,5,153416487,104,237,49,40,61,64,62,1967,black,brown,white,red
522,283,215960600,19,10,10,37,74,199,0,0,black,gray,none,none
151,12,117951688,11,236,9,46,36,106,106,62,black,blue,gray,none
8172,1120,195794235,21,240,49,35,0,0,0,0,white,black,none,none
65,32,201991907,5,46,38,62,64,1967,0,0,black,white,purple,yellow
139,37,175252143,4,49,259,62,0,0,0,0,black,gray,none,none
1596,404,209709151,19,8,42,36,64,65,196,200,brown,red,none,none
429,61,190644199,11,9,261,36,105,51,0,0,black,none,none,none
108,31,212655211,25,245,10,246,41,318,0,0,white,black,none,none
448,221,216680731,104,237,2,261,37,64,62,65,black,white,red,yellow
2696,388,207559887,28,40,1967,57,95,214,231,140,gray,none,none,none
592,315,208712377,17,237,43,37,61,62,95,0,black,blue,gray,none
374,98,202233533,11,29,41,38,62,57,1967,93,black,gray,yellow,none
1803,455,209018116,11,25,29,261,37,57,51,0,black,blue,none,none
686,200,216406434,17,29,49,36,64,51,105,1967,white,blue,none,none
2269,179,185637068,19,8,46,38,64,0,0,0,black,red,none,none
189,37,216000558,11,27,47,318,62,0,0,0,black,red,none,none
328,85,147697775,19,28,263,105,200,196,0,0,black,white,red,blue
49,21,205387305,4,25,25,46,64,201,95,0,white,black,red,none
618,241,216007276,11,25,9,43,37,61,106,65,black,gray,none,none
3005,464,155280983,19,11,24,237,41,36,57,51,black,none,none,none
2119,260,193509097,46,38,4438,6,0,0,0,0,white,red,none,none
294,18,133365695,5,25,41,38,106,64,1967,4428,black,red,orange,yellow
483,100,216474144,21,25,29,29,69,42,37,40,black,none,none,none
157,38,216895730,17,9,43,37,62,105,0,0,white,red,none,none
248,37,198792929,104,238,49,37,64,196,190,194,brown,white,red,blue
6,3,173632399,2,29,2,49,46,258,61,61,black,brown,blue,none
187,25,179532277,17,28,47,46,318,38,62,0,black,none,none,none
153,40,216298496,19,9,265,318,57,201,199,95,black,gray,none,none
549,62,176186432,24,28,43,37,61,1967,0,0,red,yellow,none,none
88,12,168440588,4,261,259,200,0,0,0,0,black,red,blue,none
14216,1578,181576038,19,24,237,261,36,64,105,211,white,black,none,none
165,21,171066673,104,9,46,37,182,0,0,0,white,blue,none,none
6906,2022,193390328,4,25,261,318,65,57,1967,62,white,black,none,none
704,260,214413998,5,245,246,43,38,64,62,200,white,red,none,none
1927,162,126833297,104,237,39,106,64,62,57,1967,black,green,none,none
3134,531,216536302,11,236,28,46,37,62,0,0,black,none,none,none
475,148,214186339,21,8,43,37,65,64,74,182,black,brown,green,yellow
11,5,216644942,11,25,64,62,60,55,1967,0,black,none,none,none
39,7,203294118,21,25,237,49,62,61,1967,57,white,black,none,none
12320,1398,180608101,19,24,240,261,37,105,0,0,black,yellow,none,none
10,10,199108552,11,8,261,186,0,0,0,0,blue,none,none,none
3316,102,121146750,4,104,8,8,41,46,37,95,white,black,green,yellow
3118,999,215129970,19,25,42,42,37,93,0,0,black,gray,none,none
145,13,110637600,1967,1967,5,43,0,0,0,0,white,none,none,none
196,10,149210908,19,29,47,318,61,64,58,55,white,blue,none,none
218,7,156057610,5,25,43,40,106,64,65,62,white,black,red,yellow
127,8,210862186,3,25,43,35,64,65,1967,189,black,brown,white,blue
894,211,216916800,28,43,36,64,65,57,187,0,white,black,red,yellow
714,6,134823113,19,104,69,253,29,69,0,0,white,black,none,none
293,42,206996085,21,9,46,37,62,57,0,0,black,brown,white,blue
605,102,181965747,95,106,62,37,3,24,43,0,black,green,blue,yellow
414,38,164129844,11,46,36,64,58,52,201,197,black,red,blue,green
322,232,216978188,4,2,46,37,105,55,58,0,black,red,gray,none
3509,515,209048281,4,25,263,263,37,65,0,0,black,blue,none,none
589,92,170340245,4,46,318,61,106,0,0,0,black,blue,none,none
223,29,127618301,26,29,4518,4517,46,259,57,200,black,red,blue,none
2752,228,126767952,11,10,261,62,1967,58,340,227,black,none,none,none
13,4,166844577,5,41,65,64,58,186,0,0,black,blue,gray,none
3078,823,211712146,4,43,38,197,196,224,95,0,brown,red,none,none
73,9,201997191,11,25,237,42,0,0,0,0,black,none,none,none
102,2,164808617,6,43,64,65,0,0,0,0,white,blue,yellow,none
1240,36,126348698,104,28,257,259,106,1967,55,93,black,red,none,none
2916,452,197334104,256,2,29,257,49,60,213,110,black,orange,yellow,none
1720,358,173892447,104,29,46,57,213,218,179,78,white,blue,none,none
831,61,134166403,11,8,49,259,1967,184,93,200,black,red,brown,none
59,10,202630390,25,237,2,261,37,196,189,199,yellow,none,none,none
44197,451,214769254,2,28,41,57,4438,0,0,0,black,gray,none,none
4,198,217013956,49,259,193,4495,24,28,57,0,black,gray,none,none
406,48,146746566,4,46,36,106,65,1967,0,0,black,none,none,none
275,70,214837202,19,240,261,318,55,3336,316,0,white,black,none,none
1959,863,212459275,4,43,37,61,200,222,0,0,white,black,red,none
72,13,149720063,21,9,46,196,200,0,0,0,black,red,none,none
8098,945,208168526,24,28,2,261,261,38,186,0,white,blue,gray,none
400,114,187424760,19,28,261,318,64,65,106,105,white,blue,yellow,gray
12,15,205226100,37,318,38,318,37,37,37,37,white,black,red,yellow
1184,417,213089469,24,26,28,261,37,4267,0,0,green,gray,none,none
159,31,201342056,4,25,25,41,64,97,0,0,white,red,none,none
57,24,198782082,21,237,49,1967,4448,227,0,0,white,red,none,none
330,117,215343472,4454,278,4456,292,304,302,335,55,black,blue,yellow,none
57,6,165102841,104,29,48,259,0,0,0,0,gray,red,blue,green
6591,1315,133357708,19,25,9,263,38,62,52,1967,white,brown,black,none
109,6,196202607,17,29,4518,2,46,37,57,0,brown,blue,none,none
923,65,124957387,21,24,27,261,55,4428,0,0,black,none,none,none
2964,156,117117728,4,236,261,36,57,0,0,0,black,orange,none,none
216,114,216540297,19,25,310,43,39,105,0,0,black,brown,none,none
403,138,211982901,21,49,39,58,186,196,197,201,black,none,none,none
40,33,216616852,19,9,49,318,0,0,0,0,white,none,none,none
450,42,136908007,21,21,2,29,29,261,261,201,blue,none,none,none
37,9,146309485,104,29,49,106,62,1967,97,0,white,black,green,gray
1599,591,216484610,19,8,266,3336,76,77,0,0,brown,blue,none,none
706,166,211833528,24,61,291,189,319,0,0,0,white,brown,red,blue
561,109,214964893,19,24,8,261,106,222,40,0,black,red,brown,none
191,16,184157081,11,29,49,62,106,64,64,55,black,red,blue,gray
2087,663,215481437,24,263,37,64,0,0,0,0,black,red,orange,none
16837,474,199450023,17,236,237,37,196,18,47,0,white,black,none,none
3135,327,136674961,19,25,10,46,36,0,0,0,black,red,none,none
2862,597,187488943,4,19,332,43,318,2,0,0,black,red,none,none
1557,452,208049788,21,17,27,49,0,0,0,0,white,blue,none,none
4047,104,115895453,17,11,29,251,261,57,0,0,white,black,gray,none
456,23,173061735,11,11,29,49,64,65,194,196,red,blue,none,none
336,185,215205566,21,25,310,49,1967,0,0,0,gray,none,none,none
212,36,215399004,4,261,37,62,62,64,0,0,gray,yellow,none,none
936,349,210705205,11,310,261,318,95,200,74,0,black,brown,blue,orange
361,125,216790081,25,2,8,261,37,62,57,0,white,black,none,none
926,99,194163506,11,104,25,9,43,37,57,0,black,none,none,none
53199,656,198517429,104,236,332,36,1967,57,47,64,white,none,none,none
761,133,214075905,5,24,46,38,200,222,0,0,red,gray,none,none
3487,939,212846643,4,37,65,105,0,0,0,0,white,black,red,yellow
63,8,115632028,19,104,25,49,271,278,278,292,white,black,blue,none
626,18,132676081,4,49,64,55,223,200,74,0,white,black,red,yellow
703,117,180050708,11,241,49,65,64,62,223,0,purple,black,red,gray
436,162,216835849,21,25,10,47,318,64,57,52,black,white,purple,yellow
104,5,196403993,11,25,29,49,106,64,62,221,black,brown,white,red
35,14,174762890,24,28,261,55,0,0,0,0,black,none,none,none
4239,1404,207266399,18,236,9,43,318,106,64,0,black,yellow,none,none
7359,417,144788089,21,2,237,42,36,4438,4448,0,black,brown,none,none
22,9,164353996,104,236,241,261,37,106,62,64,white,black,none,none
492,35,148114712,318,55,200,4,24,0,0,0,red,none,none,none
6094,1555,209799799,4,43,37,64,57,0,0,0,white,black,orange,none
1546,450,214546623,11,11,19,332,43,37,57,0,black,none,none,none
4504,729,198099973,11,29,49,258,57,62,0,0,white,brown,blue,none
8,3,151157087,5,104,241,261,227,261,227,0,black,red,none,none
555,191,213917420,19,8,261,38,0,0,0,0,black,brown,white,yellow
4,3,212165322,49,49,261,43,43,42,49,46,white,purple,none,none
235,14,171934381,18,21,237,261,259,65,106,62,black,brown,none,none
981,409,216341333,21,8,43,37,51,4428,196,200,red,none,none,none
6594,1362,203448288,11,8,47,198,194,187,140,140,white,red,blue,none
1433,57,115731369,11,11,25,241,41,318,106,62,black,none,none,none
96,9,174417852,11,265,278,3336,316,4479,316,0,red,blue,none,none
216,51,216706155,21,24,310,261,259,64,0,0,black,blue,none,none
1575,455,201372553,4,46,38,62,55,202,4438,179,red,none,none,none
34,21,210882167,21,241,37,1967,57,58,1967,0,white,red,yellow,none
502,47,171187122,104,25,9,46,37,62,77,0,blue,none,none,none
5741,1213,208341500,18,8,64,1967,4428,319,222,140,black,yellow,none,none
170,27,201834431,104,332,47,38,62,65,1967,57,black,white,red,blue
113,43,214823594,4,46,65,62,196,0,0,0,white,black,brown,gray
437,90,214484094,297,303,21,21,21,21,21,27,white,black,none,none
4600,328,127186658,4,25,49,199,0,0,0,0,black,none,none,none
200,34,210006729,4454,4459,4455,296,305,4462,302,335,black,none,none,none
6074,698,214830853,19,24,240,261,37,0,0,0,black,none,none,none
2738,826,210153864,4,25,42,37,106,105,196,0,white,black,red,brown
2281,752,212447467,17,28,43,107,60,106,186,200,black,red,blue,yellow
319,66,146824893,17,25,28,42,37,4438,4438,0,black,red,blue,green
108,23,188932164,21,237,261,4456,0,0,0,0,black,blue,none,none
898,31,195852775,4,245,246,47,259,62,106,64,red,none,none,none
293,108,215318050,21,29,69,266,259,55,3336,0,black,yellow,none,none
1953,542,211500079,21,25,9,38,64,77,0,0,white,black,gray,none
740,90,212440203,5,24,46,38,64,74,0,0,white,none,none,none
1501,227,211097399,19,24,9,261,318,0,0,0,black,none,none,none
3090,442,211770215,11,46,318,77,0,0,0,0,blue,gray,none,none
114,8,195317678,24,29,261,64,106,222,0,0,black,blue,none,none
1830,485,200491645,4,46,37,65,62,65,95,74,black,red,blue,yellow
23,8,207003090,4495,69,241,65,65,1967,227,0,black,white,red,yellow
4850,90,135399361,21,243,261,65,57,93,196,200,black,none,none,none
4475,492,147750403,5,24,261,55,57,259,182,0,black,none,none,none
775,57,176469013,104,24,237,2,261,37,65,64,blue,none,none,none
100,20,216947113,4,260,53,105,57,0,0,0,white,black,red,none
4601,757,204334171,17,8,41,41,38,57,200,201,black,white,red,yellow
172,29,183241959,9,43,37,55,57,0,0,0,black,red,none,none
71,89,217006076,19,9,49,38,65,1967,0,0,black,white,red,blue
54,19,215921101,4495,29,49,196,95,222,200,0,red,gray,green,none
3019,896,207477999,104,29,42,258,62,55,182,0,black,gray,brown,none
5795,877,215776763,5,264,37,62,64,184,197,202,black,red,yellow,none
51,24,181101646,19,2,261,318,61,62,196,200,black,brown,red,none
1726,222,196956004,4,46,37,105,55,1967,0,0,white,brown,black,blue
1218,480,216808432,19,25,4452,261,37,57,0,0,black,none,none,none
1036,495,205659285,275,278,4498,297,305,304,4461,4477,black,white,red,blue
804,373,216731262,5,4,9,41,38,62,65,184,black,red,orange,purple
2284,950,216122492,4,43,37,64,65,62,199,93,black,yellow,none,none
263,29,172898560,11,241,245,42,60,106,65,106,white,black,gray,yellow
134,50,213331156,5,49,38,1967,95,204,0,0,white,black,red,brown
87,57,165868882,21,237,69,49,1967,4428,0,0,black,blue,gray,none
726,90,155982538,104,237,49,37,62,62,1967,0,white,black,green,none
68,3,144386338,11,237,42,62,64,201,0,0,white,blue,yellow,none
48197,961,202131758,10,2,46,37,62,93,0,0,white,orange,none,none
7528,862,197745401,104,24,27,46,37,0,0,0,white,black,red,blue
106,34,172696094,4496,237,46,37,106,64,1967,340,black,none,none,none
141,29,185131813,11,25,240,49,37,62,57,0,black,none,none,none
21826,792,206465009,11,28,38,38,194,194,211,213,white,black,red,yellow
497,117,202955567,4454,275,278,296,305,304,4463,4472,black,red,gray,none
374,84,205994148,11,9,46,38,55,52,57,0,white,black,none,none
2590,170,122415242,104,8,46,36,106,62,64,200,black,red,yellow,none
583,201,216834853,17,18,4452,261,37,61,105,0,black,brown,white,blue
96,24,171294003,21,25,237,49,37,57,4441,0,black,gray,green,none
